Some weights of the model checkpoint at SkolkovoInstitute/roberta_toxicity_classifier were not used when initializing RobertaForSequenceClassification: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
- This IS expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at textattack/roberta-base-CoLA were not used when initializing RobertaForSequenceClassification: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
- This IS expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Using device: mps
Loading policy initialization from TRAIN/bart-paraphrase/final_model
  Step 42: reward=0.1271 loss=1.1388 kl=0.3763
  Step 43: reward=0.1166 loss=2.0419 kl=1.3125
  Step 44: reward=0.1276 loss=1.5331 kl=0.8382
  Step 45: reward=0.1251 loss=1.5479 kl=0.2617
  Step 46: reward=0.1271 loss=1.4002 kl=0.9852
  Step 47: reward=0.1279 loss=2.1154 kl=1.0207
  Step 48: reward=0.1225 loss=1.4137 kl=0.7563
  Step 49: reward=0.1166 loss=2.5395 kl=1.6633
  Step 50: reward=0.1229 loss=1.1603 kl=0.4902
  Eval reward=0.6228 toxicity=0.0883
Epoch 5/10
  Step 01: reward=0.1201 loss=1.6754 kl=0.7120
  Step 02: reward=0.1257 loss=1.5097 kl=0.8897
  Step 03: reward=0.1182 loss=32.8513 kl=-1.2098
  Step 04: reward=0.1161 loss=2.2635 kl=0.8180
  Step 05: reward=0.1257 loss=2.7760 kl=1.2294
  Step 06: reward=0.1265 loss=2.0801 kl=0.7631
  Step 07: reward=0.1288 loss=2.1147 kl=1.3912
  Step 08: reward=0.1183 loss=3.8501 kl=0.5550
  Step 09: reward=0.1268 loss=2.4852 kl=2.0253
  Step 10: reward=0.1325 loss=3.8323 kl=-0.7842
  Step 11: reward=0.1295 loss=1.7231 kl=0.5739
  Step 12: reward=0.1285 loss=122.6334 kl=0.1608
  Step 13: reward=0.1221 loss=0.9424 kl=0.2092
  Step 14: reward=0.1209 loss=6.8212 kl=0.1691
  Step 15: reward=0.1215 loss=1.8469 kl=1.0213
  Step 16: reward=0.1208 loss=2.8548 kl=0.5756
  Step 17: reward=0.1274 loss=2.2284 kl=1.0086
  Step 18: reward=0.1169 loss=2.6346 kl=1.6366
  Step 19: reward=0.1217 loss=1.7401 kl=1.3305
  Step 20: reward=0.1264 loss=2.1133 kl=1.5240
  Step 21: reward=0.1174 loss=1.7273 kl=1.2289
  Step 22: reward=0.1277 loss=17.0215 kl=0.2203
  Step 23: reward=0.1297 loss=2.2180 kl=1.3383
  Step 24: reward=0.1183 loss=4.4212 kl=0.0699
  Step 25: reward=0.1235 loss=0.9848 kl=0.0704
  Step 26: reward=0.1260 loss=1.3370 kl=-0.0855
  Step 27: reward=0.1256 loss=1.5020 kl=1.2312
  Step 28: reward=0.1129 loss=1.3120 kl=0.8908
  Step 29: reward=0.1176 loss=0.8908 kl=0.5100
  Step 30: reward=0.1222 loss=1.5014 kl=-0.1144
  Step 31: reward=0.1217 loss=1.3464 kl=0.6099
  Step 32: reward=0.1299 loss=0.5738 kl=0.2628
  Step 33: reward=0.1223 loss=3.4605 kl=-0.5356
  Step 34: reward=0.1264 loss=3.3156 kl=0.8453
  Step 35: reward=0.1636 loss=1.3626 kl=0.2440
  Step 36: reward=0.1146 loss=0.7505 kl=-0.0338
  Step 37: reward=0.1211 loss=1.2124 kl=0.2091
  Step 38: reward=0.1182 loss=1.2588 kl=0.2797
  Step 39: reward=0.1243 loss=56.0545 kl=1.1117
  Step 40: reward=0.1272 loss=0.8443 kl=-0.0349
  Step 41: reward=0.1291 loss=1.9273 kl=1.0495
  Step 42: reward=0.1295 loss=2.3071 kl=1.2698
  Step 43: reward=0.1301 loss=3.2653 kl=-0.2177
  Step 44: reward=0.1234 loss=1.3398 kl=0.4340
  Step 45: reward=0.1212 loss=0.7494 kl=0.2169
  Step 46: reward=0.1231 loss=5.0484 kl=-0.4396
  Step 47: reward=0.1325 loss=0.4736 kl=0.0661
  Step 48: reward=0.1239 loss=1.1679 kl=-0.3181
  Step 49: reward=0.1229 loss=1.2292 kl=0.4640
  Step 50: reward=0.1297 loss=0.9992 kl=0.5019
  Eval reward=0.6186 toxicity=0.0897
Epoch 6/10
  Step 01: reward=0.1269 loss=0.7756 kl=0.3670
  Step 02: reward=0.1277 loss=11.0116 kl=0.8143
  Step 03: reward=0.1341 loss=1.3398 kl=0.0412
  Step 04: reward=0.1269 loss=4.3025 kl=-0.4143
  Step 05: reward=0.1250 loss=0.9963 kl=0.4669
  Step 06: reward=0.1204 loss=83.4581 kl=0.2305
  Step 07: reward=0.1308 loss=2.9642 kl=0.7667
  Step 08: reward=0.1246 loss=1.1669 kl=0.6768
  Step 09: reward=0.1292 loss=1.0049 kl=0.1301
  Step 10: reward=0.1246 loss=1.2510 kl=0.7072
  Step 11: reward=0.1381 loss=0.9924 kl=0.5242
  Step 12: reward=0.1292 loss=0.5633 kl=0.1462
  Step 13: reward=0.1105 loss=1.5388 kl=0.6508
  Step 14: reward=0.1314 loss=3.1800 kl=-0.4401
  Step 15: reward=0.1157 loss=1.2740 kl=0.8958
  Step 16: reward=0.1450 loss=2.3917 kl=0.2012
  Step 17: reward=0.1261 loss=0.9462 kl=0.4075
  Step 18: reward=0.1196 loss=0.7042 kl=-0.1098
  Step 19: reward=0.1144 loss=1.0509 kl=0.4563
  Step 20: reward=0.1255 loss=1.8066 kl=1.3179
  Step 21: reward=0.1237 loss=1.0542 kl=-0.3703
  Step 22: reward=0.1202 loss=2.5695 kl=0.3771
  Step 23: reward=0.1219 loss=1.4149 kl=0.3677
  Step 24: reward=0.1177 loss=2.5217 kl=-0.3879
  Step 25: reward=0.1165 loss=0.7322 kl=0.0436
  Step 26: reward=0.1250 loss=5.9267 kl=-0.6349
  Step 27: reward=0.1248 loss=2.8316 kl=0.0794
  Step 28: reward=0.1278 loss=3.5267 kl=0.2135
  Step 29: reward=0.1194 loss=1.7622 kl=1.1060
  Step 30: reward=0.1264 loss=1.1313 kl=0.4334
  Step 31: reward=0.1168 loss=1.2467 kl=0.7030
  Step 32: reward=0.1270 loss=1.3340 kl=0.6509
  Step 33: reward=0.1275 loss=0.8877 kl=-0.0782
  Step 34: reward=0.1275 loss=2.1131 kl=0.2357
  Step 35: reward=0.1275 loss=0.8981 kl=0.2750
  Step 36: reward=0.1237 loss=2.1857 kl=1.5937
  Step 37: reward=0.1300 loss=1.3859 kl=0.5465
  Step 38: reward=0.1226 loss=1416.9691 kl=-0.0862
  Step 39: reward=0.1254 loss=1.5207 kl=1.1384
  Step 40: reward=0.1295 loss=3.2326 kl=-0.4900
  Step 41: reward=0.1246 loss=1.2218 kl=0.4482
  Step 42: reward=0.1210 loss=1.7280 kl=-0.1316
  Step 43: reward=0.1294 loss=0.9242 kl=0.2911
  Step 44: reward=0.1279 loss=1.0400 kl=0.6448
  Step 45: reward=0.1230 loss=1.2270 kl=0.4927
  Step 46: reward=0.1221 loss=1.7672 kl=1.3696
  Step 47: reward=0.1235 loss=0.6591 kl=0.0660
  Step 48: reward=0.1224 loss=1.4792 kl=1.0851
  Step 49: reward=0.1257 loss=3.8779 kl=0.0001
  Step 50: reward=0.1219 loss=1.9940 kl=1.0987
  Eval reward=0.6171 toxicity=0.0837
Epoch 7/10
  Step 01: reward=0.1342 loss=0.9690 kl=0.6683
  Step 02: reward=0.1296 loss=0.7698 kl=0.4873
  Step 03: reward=0.1264 loss=134.6040 kl=-0.0628
  Step 04: reward=0.1316 loss=0.9937 kl=0.7117
  Step 05: reward=0.1277 loss=4.5856 kl=-0.3212
  Step 06: reward=0.1309 loss=1.3163 kl=0.8963
  Step 07: reward=0.1232 loss=0.4681 kl=-0.1073
  Step 08: reward=0.1228 loss=0.6964 kl=-0.0886
  Step 09: reward=0.1261 loss=1.4140 kl=0.5162
  Step 10: reward=0.1250 loss=0.9431 kl=0.6015
  Step 11: reward=0.1182 loss=1.9271 kl=-0.1280
  Step 12: reward=0.1299 loss=1.5232 kl=0.1884
  Step 13: reward=0.1194 loss=3.5086 kl=-1.0167
  Step 14: reward=0.1526 loss=1.0407 kl=0.5605
  Step 15: reward=0.1224 loss=1.5281 kl=0.2479
  Step 16: reward=0.1172 loss=1.1500 kl=0.6281
  Step 17: reward=0.1118 loss=220.3448 kl=-0.6288
  Step 18: reward=0.1220 loss=2.0916 kl=1.1704
  Step 19: reward=0.1157 loss=161.5511 kl=-0.2099
  Step 20: reward=0.1196 loss=0.5398 kl=0.0511
  Step 21: reward=0.1483 loss=1.4762 kl=1.0059
  Step 22: reward=0.1197 loss=1.9587 kl=1.4206
  Step 23: reward=0.1302 loss=1.1950 kl=0.2465
  Step 24: reward=0.1296 loss=1.9263 kl=1.0266
  Step 25: reward=0.1184 loss=1.4700 kl=0.7210
  Step 26: reward=0.1189 loss=2.1478 kl=0.8203
  Step 27: reward=0.1216 loss=4.2107 kl=-0.1704
  Step 28: reward=0.1242 loss=3.2802 kl=1.0850
  Step 29: reward=0.1299 loss=1.8438 kl=0.3703
  Step 30: reward=0.1116 loss=2.2285 kl=0.1955
  Step 31: reward=0.1233 loss=0.9421 kl=0.1098
  Step 32: reward=0.1320 loss=2.8361 kl=0.3181
  Step 33: reward=0.1275 loss=0.9161 kl=-0.3554
  Step 34: reward=0.1285 loss=4.2607 kl=-0.3046
  Step 35: reward=0.1291 loss=1.4380 kl=0.2119
  Step 36: reward=0.1255 loss=1.6493 kl=0.9340
  Step 37: reward=0.1237 loss=1.3732 kl=0.3571
  Step 38: reward=0.1256 loss=1.1048 kl=0.3759
  Step 39: reward=0.1216 loss=0.9885 kl=0.0172
  Step 40: reward=0.1290 loss=0.7952 kl=-0.1414
  Step 41: reward=0.1192 loss=0.8059 kl=0.1467
  Step 42: reward=0.1183 loss=41.3921 kl=0.1287
  Step 43: reward=0.1299 loss=1.7874 kl=1.2448
  Step 44: reward=0.1301 loss=15.7554 kl=-0.1478
  Step 45: reward=0.1190 loss=0.3913 kl=-0.0232
  Step 46: reward=0.1149 loss=1.4395 kl=0.3292
  Step 47: reward=0.1300 loss=0.5244 kl=0.2448
  Step 48: reward=0.1423 loss=1.1720 kl=1.0560
  Step 49: reward=0.1289 loss=1.7300 kl=1.0159
  Step 50: reward=0.1208 loss=1.0904 kl=0.7390
  Eval reward=0.6187 toxicity=0.0826
Epoch 8/10
  Step 01: reward=0.1198 loss=2.2873 kl=-0.2359
  Step 02: reward=0.1282 loss=1.0497 kl=0.7323
  Step 03: reward=0.1296 loss=1.1641 kl=-0.3460
  Step 04: reward=0.1283 loss=1.1522 kl=0.6308
  Step 05: reward=0.1244 loss=1.2967 kl=-0.0200
  Step 06: reward=0.1273 loss=1.1437 kl=0.0175
  Step 07: reward=0.1295 loss=0.8184 kl=0.4769
  Step 08: reward=0.1292 loss=0.7500 kl=0.2988
  Step 09: reward=0.1247 loss=2.2420 kl=-0.5285
  Step 10: reward=0.1284 loss=1.5262 kl=0.9539
  Step 11: reward=0.1322 loss=1.6199 kl=0.0851
  Step 12: reward=0.1209 loss=3.9943 kl=1.1343
  Step 13: reward=0.1453 loss=0.8720 kl=0.1946
  Step 14: reward=0.1142 loss=3.2909 kl=0.9333
  Step 15: reward=0.1235 loss=0.9102 kl=0.1383
  Step 16: reward=0.1278 loss=0.4983 kl=-0.0064
  Step 17: reward=0.1292 loss=7.0434 kl=-0.3204
  Step 18: reward=0.1165 loss=1.5762 kl=0.2079
  Step 19: reward=0.1254 loss=1.6818 kl=1.0676
  Step 20: reward=0.1295 loss=1.3681 kl=0.8109
  Step 21: reward=0.1312 loss=1.7456 kl=1.1335
  Step 22: reward=0.1179 loss=3.1533 kl=0.1962
  Step 23: reward=0.1263 loss=1.0039 kl=0.6490
  Step 24: reward=0.1299 loss=1.4038 kl=0.9887
  Step 25: reward=0.1270 loss=1.5847 kl=1.1981
  Step 26: reward=0.1181 loss=1.1293 kl=0.6474
  Step 27: reward=0.1415 loss=1.7851 kl=0.6322
  Step 28: reward=0.1286 loss=1.2607 kl=0.6440
  Step 29: reward=0.1217 loss=1.9279 kl=-0.0475
  Step 30: reward=0.1283 loss=1.3159 kl=0.9887
  Step 31: reward=0.1232 loss=1.4624 kl=0.9062
  Step 32: reward=0.1254 loss=1.0869 kl=0.6224
  Step 33: reward=0.1114 loss=1.7090 kl=-0.0447
  Step 34: reward=0.1239 loss=0.8783 kl=-0.3422
  Step 35: reward=0.1289 loss=1.3117 kl=0.4734
  Step 36: reward=0.1182 loss=1.2241 kl=-0.7195
  Step 37: reward=0.1213 loss=1.4042 kl=-0.2212
  Step 38: reward=0.1328 loss=1.0529 kl=-0.1253
  Step 39: reward=0.1212 loss=6.2161 kl=0.3122
  Step 40: reward=0.1237 loss=1.3732 kl=0.5997
  Step 41: reward=0.1268 loss=0.6638 kl=0.0024
  Step 42: reward=0.1299 loss=2.3773 kl=-0.6073
  Step 43: reward=0.1309 loss=6.4532 kl=-0.7049
  Step 44: reward=0.1330 loss=1.1280 kl=0.4371
  Step 45: reward=0.1273 loss=0.9120 kl=-0.0886
  Step 46: reward=0.1196 loss=0.9945 kl=0.3795
  Step 47: reward=0.1205 loss=1.5709 kl=0.2688
  Step 48: reward=0.1166 loss=2.9679 kl=1.0024
  Step 49: reward=0.1179 loss=0.4355 kl=0.0294
  Step 50: reward=0.1786 loss=2.8261 kl=-0.5725
  Eval reward=0.6169 toxicity=0.0923
Epoch 9/10
  Step 01: reward=0.1272 loss=0.4248 kl=-0.0283
  Step 02: reward=0.1253 loss=1.1732 kl=0.3804
  Step 03: reward=0.1315 loss=0.8136 kl=0.2804
  Step 04: reward=0.1268 loss=2.2688 kl=1.8163
  Step 05: reward=0.1290 loss=1.9800 kl=1.4585
  Step 06: reward=0.1240 loss=33.0964 kl=-0.4434
  Step 07: reward=0.1304 loss=3.8131 kl=0.7122
  Step 08: reward=0.1236 loss=0.7291 kl=0.0540
  Step 09: reward=0.1161 loss=1.6953 kl=1.2637
  Step 10: reward=0.1149 loss=5.2763 kl=-0.1761
  Step 11: reward=0.1193 loss=1.2463 kl=-0.3942
  Step 12: reward=0.1284 loss=1.4353 kl=0.3906
  Step 13: reward=0.1376 loss=0.9955 kl=-0.2809
  Step 14: reward=0.1247 loss=1.8830 kl=1.6158
  Step 15: reward=0.1190 loss=2954.8955 kl=-0.7719
  Step 16: reward=0.1315 loss=0.4740 kl=-0.0366
  Step 17: reward=0.1273 loss=2.2348 kl=-0.6112
  Step 18: reward=0.1191 loss=22.3615 kl=0.4813
  Step 19: reward=0.1168 loss=16.5775 kl=-0.1723
  Step 20: reward=0.1273 loss=1.4193 kl=1.0310
